time,location,account,message,features
4/6/2020 8:00,Downtown,AlwaysSafePowerCompany,#Power Plant# Always Safe Nuclear Power Plant shift change,",shift,plant,safe,change,nuclear,power,power plant,safe nuclear power plant shift change"
4/6/2020 8:04,Safe Town,AlwaysSafePowerCompany,"Rain, snow, sleet, hail? No need to worry, Always Safe Power Company will always be running! #MakesItNoWonder",",snow,safe power company,hail,rain,sleet,makesitnowonder,safe,company,power"
4/6/2020 8:05,Old Town,Mrs.Tillenbottom,My #grandson and I are going to the #curcus 2nite,",grandson,curcus"
4/6/2020 8:06,Cheddarford,DerekNolan,Wasted my money buwing a house to get away from Taxi DrIving only to get to trafic owt here in the boonies. . . @RamonaSmartF,"house,trafic owt,ramonasmartf,owt,taxi,boonies,taxi driving,money,trafic,driving"
4/6/2020 8:11,Old Town,Mrs.Tillenbottom,hecko?,
4/6/2020 8:12,Northwest,ElwinJr, Hephalumps are coming to down!  Woozels too?,"woozels,hephalumps"
4/6/2020 14:36,Safe Town,AlwaysSafePowerCompany,"Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!","earthquake,were,safe power company,acting,safe,company,power,folks"
4/6/2020 14:36,Old Town,Mrs.Tillenbottom,Remember 2 get cat food,"cat food,cat,food"
4/6/2020 14:36,Northwest,TonyPeterson,"@DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:36,Oak Willow,AttentativeCCandy,done with this it! someone forward to finally get mine next week if you haven't! but i think i got a jumbo cup of tea haha @SallyBusyP,"tea,week,cup,jumbo cup"
4/6/2020 14:38,Cheddarford,DerekNolan,sending owt earthqwake alarts. . . you know theyre starting. . . say goodbye to the Nerio,"nerio,alarts,owt,goodbye,owt earthqwake alarts,earthqwake"
4/6/2020 14:39,Northwest,ElwinJR, My stgheuffed bear justghe fell off tghehe shelf.  Whatghe happened?,"stgheuffed bear justghe,whatghe,tghehe,shelf,bear,justghe"
4/6/2020 14:40,Cheddarford,DerekNolan,will ytouou miss the Nerio(God bless) or will this town revel in losing owr great nashun,"nashun,ytouou,neriogod bless,bless,owr,owr nashun,town"
4/6/2020 14:40,Old Town,Mrs.Tillenbottom,"I swear the foto on my mantle just moved. Bobby, is that you? Old Townspooky","townspooky,bobby,foto,mantle"
4/6/2020 14:41,Old Town,Mrs.Tillenbottom,Thx @CatLadyKylieCrane ,
4/6/2020 14:41,Cheddarford,DerekNolan,yuo know theyre doing this on purpose @RacesCurrinDog,purpose
4/6/2020 14:42,Safe Town,AlwaysSafePowerCompany,"We care about our folks and neighbors. Weíll keep you updated on the status of things, here in our home of *Safe* town!","well,neighbors,status,home,town,folks,safe town"
4/6/2020 14:42,Chapparal,FastBowlMoore,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:43,Pepper Mill,CassieStones,Are there any casualties @AlwaysSafePowerCompany,casualties
4/6/2020 14:43,Chapparal,FearsReynoldsLion,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:43,Old Town,Mrs.Tillenbottom,I wonder if the mail cam,"mail,cam"
4/6/2020 14:44,West Parton,LovesJaimeCat,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:44,Safe Town,AlwaysSafePowerCompany,"Hi @CarseieStones! Thank you for asking. As of this moment, there are no reported incidents.","incidents,moment"
4/6/2020 14:44,Cheddarford,DerekNolan,I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 14:45,Safe Town,AlwaysSafePowerCompany,Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 14:45,Cheddarford,DerekNolan,@AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 14:46,Chapparal,FastWBread98,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:47,Cheddarford,DerekNolan,@AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 14:47,Downtown,TVHostBrad,What is the @AlwaysSafePowerCompany  doing to help our town? ,"town,alwayssafepowercompany"
4/6/2020 14:49,Pepper Mill,JonathanCat2005,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:50,Safe Town,AlwaysSafePowerCompany,"Hi @TVHostBrad, thanks for asking! Weíll be sending out volunteers to the neighborhoods around us to help out once we get a better look on whatís happening. Our workers are your neighbors too :slightly_smiling_face:","well,tvhostbrad,neighborhoods,volunteers,neighbors,whats happening,workers,whats,happening"
4/6/2020 14:51,Scenic Vista,Jose_UrbancicFish1982,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:52,Northwest,LazyMLight,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 14:53,Terrapin Springs,BusyBreadGerard_Loque,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:54,Cheddarford,RacesMarvin_FordLion,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 14:55,Palace Hills,FearsBenjaminMouse,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 14:56,Southwest,LorettaSmartRay,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:57,Downtown,ObnoxiousSCouch82,"re: @DerekNolan I feel you, man. Its always sumthin",
4/6/2020 14:57,Broadview,FuriousCouchTabitha_Bell,re: I bet the offishuls of @AlwaysSafePowerCompany are dancing in theyree power palnt WATCHING Pales BURN,"offishuls,watching pales,watching,theyree power palnt,palnt,alwayssafepowercompany,pales,power,theyree"
4/6/2020 14:58,Palace Hills,Willie_Mclaughlin1969,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 14:59,Broadview,JAttentativeDewitt,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 14:59,Weston,FleetRackhamCouch2005,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:00,Old Town,Mrs.Tillenbottom,"Phew, I thought the lites flickered but it was just my clapper #claponclappoff4eva","phew,clapper,lites"
4/6/2020 15:01,Safe Town,FuriousCBanana87,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,earthquake
4/6/2020 15:01,Downtown,LovesMichaelFish,re: Are there any casualties @AlwaysSafePowerCompany,"casualties,alwayssafepowercompany"
4/6/2020 15:01,Southwest,RandyHorse2006,re: @AlwaysSafePowerCompany YOU ARE DANCING AND LAUGHING #FTWAND,",ftwand,dancing,alwayssafepowercompany"
4/6/2020 15:01,Old Town,GuapoIcecreamJavier,re: @AlwaysSafePowerCompany tjeheyre tjehe ones selling us tjeo tjehe devil,"tjeo,tjehe,devil,alwayssafepowercompany tjeheyre tjehe,alwayssafepowercompany,tjeo tjehe devil"
4/6/2020 15:02,Weston,BusyBIcecream39,"re: @DerekNolan I feel you, man. Its always sumthin",
